Server Name	database_name	backup_start_date	backup_finish_date	server_name	user_name	type	physical_device_name
OAZISDB	OAZMOLP	2025-02-28 01:45:00.000	2025-02-28 01:45:00.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228004500.trn
OAZISDB	OAZP	2025-02-28 01:45:00.000	2025-02-28 01:45:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228004500.trn
OAZISDB	OAZMOLP	2025-02-28 02:00:01.000	2025-02-28 02:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228010001.trn
OAZISDB	OAZP	2025-02-28 02:00:01.000	2025-02-28 02:00:06.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228010001.trn
OAZISDB	OAZMOLP	2025-02-28 02:15:01.000	2025-02-28 02:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228011501.trn
OAZISDB	OAZP	2025-02-28 02:15:01.000	2025-02-28 02:15:21.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228011501.trn
OAZISDB	OAZMOLP	2025-02-28 02:30:01.000	2025-02-28 02:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228013001.trn
OAZISDB	OAZP	2025-02-28 02:30:01.000	2025-02-28 02:30:06.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228013001.trn
OAZISDB	OAZMOLP	2025-02-28 02:45:00.000	2025-02-28 02:45:00.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228014500.trn
OAZISDB	OAZP	2025-02-28 02:45:00.000	2025-02-28 02:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228014500.trn
OAZISDB	OAZMOLP	2025-02-28 03:00:01.000	2025-02-28 03:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228020001.trn
OAZISDB	OAZP	2025-02-28 03:00:01.000	2025-02-28 03:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228020001.trn
OAZISDB	OAZMOLP	2025-02-28 03:15:01.000	2025-02-28 03:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228021501.trn
OAZISDB	OAZP	2025-02-28 03:15:01.000	2025-02-28 03:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228021501.trn
OAZISDB	OAZMOLP	2025-02-28 03:30:01.000	2025-02-28 03:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228023001.trn
OAZISDB	OAZP	2025-02-28 03:30:01.000	2025-02-28 03:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228023001.trn
OAZISDB	OAZMOLP	2025-02-28 03:45:01.000	2025-02-28 03:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228024501.trn
OAZISDB	OAZP	2025-02-28 03:45:01.000	2025-02-28 03:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228024501.trn
OAZISDB	OAZMOLP	2025-02-28 04:00:01.000	2025-02-28 04:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228030001.trn
OAZISDB	OAZP	2025-02-28 04:00:01.000	2025-02-28 04:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228030001.trn
OAZISDB	OAZMOLP	2025-02-28 04:15:01.000	2025-02-28 04:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228031501.trn
OAZISDB	OAZP	2025-02-28 04:15:01.000	2025-02-28 04:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228031501.trn
